Marked by the Dark,Reach level 2.,False,,Revealed,10,1
Blooded Hunter,Reach level 5.,False,,Revealed,10,2
Veteran of Ash,Reach level 10.,False,,Revealed,10,3
Beyond Mortal,Reach level 25.,False,,Revealed,10,4
The Number,Reach level 666.,False,,Revealed,10,5
Endless Hunger,Invest in an Endless mastery node.,False,,Revealed,10,6
First Blood,Win your first dungeon battle.,False,,Revealed,10,7
Pactbound,Seal your first Demonic Pact.,False,,Revealed,10,8
Fresh Blood,Recruit a defeated enemy.,False,,Revealed,10,9
Six Deep,Field six demons during a dungeon run.,False,,Revealed,10,10
A Way Out,Successfully extract from a dungeon run.,False,,Revealed,10,11
Trial of the Few,Win floor 3 or higher with an open team slot.,False,,Revealed,10,12
Call from Camp,Use your collection reinforcement.,False,,Revealed,10,13
Terror Begins,Clear dungeon floor 18.,False,,Revealed,10,14
Below the World,Clear dungeon floor 25.,False,,Revealed,10,15
There Is No Bottom,Clear dungeon floor 50.,False,,Revealed,10,16
Soulforged,Train a demon.,False,,Revealed,10,17
Relentless,Train the same demon 25 times.,False,,Revealed,10,18
Myth Made Flesh,Obtain a Mythic demon.,False,,Revealed,10,19
Every Shade of Sin,Own at least one demon of every rarity.,False,,Revealed,10,20
Elevenfold,Own at least one demon of every type.,False,,Revealed,10,21
Complete Bloodline,Own all six rarities of one demon type.,False,,Revealed,10,22
Half the Menagerie,Fill 33 collection slots.,False,,Revealed,10,23
Among Demons,Fill all 66 collection slots.,False,,Revealed,10,24
Perfect Vessel,Max every trainable stat on one demon.,False,,Revealed,10,25
Anchored,Bind your soul to a Forsaken Shrine.,False,,Revealed,10,26
Road Less Travelled,Win an off-road ambush.,False,,Revealed,10,27
Death Has an Address,Return to a bound shrine after an ambush defeat.,False,,Revealed,10,28
Hunter's Ground,Defeat a world encounter.,False,,Revealed,10,29
The Long Hunt,Start passive hunting.,False,,Revealed,10,30
Vessel Brimming,Stop a hunt with your Soul Vessel completely full.,False,,Revealed,10,31
Through Darkness,Use a Darkness Portal.,False,,Revealed,10,32
The Well Whispers Back,Receive a buff from the Whispering Well.,False,,Revealed,10,33
Far from the Fire,Win an encounter at World Terror 20 or higher.,False,,Revealed,10,34
Edgewalker,Reach an edge of the world map.,False,,Revealed,10,35
One Voice Remains,Defeat The Anomaly.,False,,Revealed,10,36
Ashes Remember,Defeat the Ash Sentinel.,False,,Revealed,10,37
Hold the Line,Defeat the Warden.,False,,Revealed,10,38
Blind the Void,Defeat the Void Ranger.,False,,Revealed,10,39
Rot the Root,Defeat the Corruptor.,False,,Revealed,10,40
Curtain Call,Defeat the Fire Dancer.,False,,Revealed,10,41
Iron Breaks,Defeat the Iron Vanguard.,False,,Revealed,10,42
Heard the Whisper,Defeat the Last Whisper.,False,,Revealed,10,43
The Line Holds,Defeat the Linebreaker.,False,,Revealed,10,44
Wake the King,Defeat the Withered King.,False,,Revealed,10,45
Move the Mountain,Defeat the Colossus.,False,,Revealed,10,46
Cut the Thread,Defeat Threadmother.,False,,Revealed,10,47
Still the Storm,Defeat the Storm Portal.,False,,Revealed,10,48
Crown of Ruin,Defeat every world boss.,False,,Revealed,10,49
Hunter Hunted,Win a PvP challenge.,False,,Revealed,10,50
Blood Rivalry,Win 10 PvP challenges.,False,,Revealed,10,51
Apex Predator,Win 50 PvP challenges.,False,,Revealed,10,52
Crowned in Hell,Reach Demonic rank.,False,,Revealed,10,53
Untouchable,Win a PvP challenge without losing a demon.,False,,Revealed,10,54
